Memory,Date,Event,Tag,Image
"So it all started on Jan 11, 2024. They both met for thr first time on this day. The Zwan boarded the bus at SRM university and came near the seat he booked and he was really surprised to sea a girl next to his seat. And there he saw her attending a Meeting in laptop. First of all he laughed a bit in his mind because previous month even he was in that situation. It was around 5.45 p.m when I boarded the bus. He was going home for pongal. The bus was Chennai to Gudalur bus.",1/11/2024,First meet,First meet,https://raw.githubusercontent.com/ishebee/The-Mismatched-APP/refs/heads/main/resources/images/Jan%202024/11.jpg
"The girl's meeting continued almost till 8.30 p.m. The bus stopped for dinner. He had packed my dinner already, so wad her. As she closed laptop to start eating her dinner with some fear in his mind, he asked her the first words between them. Zwan asked ""Is the day Hectic?"" and the girl replied, ""Yeah, a sudden meeting"". Then they didn't have any words.  They both ate their dinner. The girl started watching Anime in her mobile, while Zwan slept in the adjacent seat. The time was around 9.30 p.m now. From this first meet, till today he have enjoyed the time with her.",1/11/2024,First meet,Hectic Day,https://raw.githubusercontent.com/ishebee/The-Mismatched-APP/refs/heads/main/resources/images/Jan%202024/12.jpg
"The bus reached Avinashi at 3 a.m next day morning, that is Jan 12 2024. The driver stopped for a Tea/Drinks break. When Zwan woke up from sleep he saw that the girl was sleeping. He went out and drank juice and came to his seat. When driver started the bus suddenly, because of it's sudden jerk the girl got up. She asked him, ""where did we reach?"" for which Zwan replied ""Avinashi."". She offered him poppins while she was eacting, though at first he hesitated he took it from her. They both introduced to each other. The boy said, ""I'm Zwan"". The girl said, ""I am Vita"". ",1/12/2024,First meet,Introduction,https://raw.githubusercontent.com/ishebee/The-Mismatched-APP/refs/heads/main/resources/images/Jan%202024/13.jpg
"They both talked all around from Avinashi to Ooty everything possible in that first meeting. Vita said she was working in a Software company in Porur, Chennai while Zwan was from a bit outer of Chennai in place named Guduvanchery worked in another software company. That was a hell of first meet as the neighbour seat people had requested to lower voice of boy and girl as they were talking loud!! lol. That was best first meet the boy had ever had. They talked mostly everything like from where both were from, college, school, relationships, crushes, marriage etc etc. Around 6.30 a.m morning the bus had reached Ooty. The girl said she would sleep as she had work next day. She asked the boy to wake her up while reaching Gudalur. He agreed.",1/12/2024,First meet,Endless Talk,https://raw.githubusercontent.com/ishebee/The-Mismatched-APP/refs/heads/main/resources/images/Jan%202024/14.jpg
Almost around 8.30 a.m the bus reached Gudalur bus stand. Zwan woke her up. Vita got and packed her bags. Zwan came out of the bus and waited for her to say bye. She came out of the bus. He asked her insta id. Vita gave him her insta id. At the same time Zwan's father had come to the bus stand to pick him. He introduces Vita to his father saying he found her in the bus. After that Zwan and his father drove their 2 wheeler to his home. His home is in place named Mayfield. Vita boarded her bus to her home. It was to opposite direction of Zwan's home. Vita's home is in place called Ayyanokkolli.,1/12/2024,First meet,Bye,https://raw.githubusercontent.com/ishebee/The-Mismatched-APP/refs/heads/main/resources/images/Jan%202024/15.jpg
"While going to home with his father Zwan followed Vita in instagram and just send a Hi message. After reaching home, Vita had replied to the message Zwan send. Zwan asked ""Did she reach safely."" For which Vita replied, ""Yes and started to work. But feeling tired"". Zwan said to take rest and she said ""yeah, Gonna sleep"". And both ended their first instagram conversation.",1/12/2024,Instagram,Instagram,https://raw.githubusercontent.com/ishebee/The-Mismatched-APP/refs/heads/main/resources/images/Jan%202024/16.jpg
"After the two of the becoming close in future the boy Zwan had thought like, ""I have a doubt, I really enjoyed this first meet, her talks, her expressions, her laugh, her smile... Yeah!! I really enjoyed... Then why didn’t I fall for her at that moment itself??! Haha lol!!!"" during a moment in future when he was making a journal for Vita's birthday. ",1/1/0100,First meet,Falling Thought,
"Though it was pongal leave, Zwan really went home for marriage of his close friend from school which was on Jan 14 2024. He had posted story of a group photo with bride and groom and also with his other friends. As Vita had followed back Zwan in instagram she saw this picture and replied to the photo pointing one of his friend and  asking, ""How do you know Ra brother?"". Zwan replied, ""Ra one of his closest school buddy"" for which Vita replied that ""Ra is her cousin brother"". Zwan message to Ra to tell about meeting Vita, Ra's cousin in bus and mentioning she was friendly. ",1/14/2024,Zwan's Instagram Story with Ra,Vita's Cousin Zwan's Friend,https://raw.githubusercontent.com/ishebee/The-Mismatched-APP/refs/heads/main/resources/images/Jan%202024/21.jpg
"In meantime, On Jan 16 2024  Zwan did really like that travel and so he was making a comic based on their travel. He had completed making the comic and he send it to Vita in instagram. Vita did really like it and she gave him persmission to post it and tag her in the post in instagram, which he did. His friend teased in the comments as something unusual travel happened. Vita re-shared the post in her instagram story",1/16/2024,Travel Comic,Instagram,https://raw.githubusercontent.com/ishebee/The-Mismatched-APP/refs/heads/main/resources/images/Jan%202024/31.jpg
"On Feb 4 2024, After 20 days Zwan had messaged Vita today when He went to Porur, area where Vita works and stays in hostler!! But while she replied next day and asked me to call next time while coming and straight away gave her number causally. This was really one of beautiful and Zwan's favourite scene because with respect, to a person met only once giving mobile number was really cute and surprising. Zwan had messages her in whatsapp to save his number.",2/4/2024,Zwan's Porur Visit,Whatsapp Number,https://raw.githubusercontent.com/ishebee/The-Mismatched-APP/refs/heads/main/resources/images/Feb%202024/11.jpg
"On Feb 13 2024, Zwan posted a reel from a Harris concert and included Vita in a cameo at the start. He and his friends had gone for a concert at the start of the month, Feb 2024. He had made a comic kinda reel and posted it in instagram. He mentioned Vita in the comic as his friends had teased him with the travel with unknown girl, Vita. He was unsure if she’d be offended but she messaged saying the comic was nice. He wanted to thank her for letting him include the cameo from their journey reel.",2/13/2024,Vita's Cameo in Zwan's Reel,Haris Concert reel,
"On Valentine’s Day Feb 14 2024, Zwan had posted a reel about love. From then replying to that reel, Vita and Zwan started chatting about their routines. From that day, they chatted consistently for next 6 months. From Valentine's day Feb 14 2024 Zwan and Vita haven’t stopped chatting and haven’t gone unreplied to each other more than 5 days till Sept 22, 2024.",2/14/2024,Valentine's Day,Love,
"On Feb 14 2024, That day, she also sent him her first voice note—three of them actually—explaining her daily routine. Zwan really loved her voice and often fell for it.",2/14/2024,Valentine's Day,First Voice Note,
"On Feb 21 2024 After a week of continuous chatting between them, Zwan went home for the first time after they had started chatting. Before leaving, he jokingly cursed that the next time Vita traveled, a 70-year-old grandma should sit next to her. She got funnily irrittated for this.",2/21/2024,Zwan's Home coming,Grandma Comedy,
"By now around Feb 26 2024, Zwan had started flirting with Vita, especially about how hot her voice was, which made her more attractive to him. He’d even said, 'Na ellaam avlo nalla payyan illa... appappo kadalai... appappo flirt laam varum... manichukko'. ",2/26/2024,First Flirting,Apologising for Flirting,
"Today on Feb 26 2024, Vita shared a reel with a romantic poem about Tambaram to Beach station, which was the first ever reel shared between both of them. Zwan preferred her voice notes to messages and often asked for them.",2/26/2024,Reels,First Reel Shared,
"By March 04, 2024, Zwan began using pickup lines for fun in their conversations. Vita seemed to enjoy them and understood the jokes. Zwan even started asking to introduce her cute friends to him. She mentioned she was planning to go home that weekend.",3/4/2024,Pick up  lines,First Pick up lines,
"Before Vita left, precisely on March 05, 2024  Zwan had to suddenly go home due to a death in his family. Interestingly, Vita changed her travel plans to the next weekend. Zwan teased her about it repeatedly that she was not able to go home that weekend because Zwan without plan is going home, while Vita who had plan couldn't go. ",3/5/2024,Failed Travel Plan,teasing,
"Continuing March 05, 2024 - Vita asked if any of Zwan’s friends near DLF, that is porur were Vita shifting her PG/Hostel. Zwan shared Vinu’s(Zwan's friend) contact via WhatsApp. It was only the second time they used WhatsApp. Zwan wondered why he even had her number—she used Instagram more. On March 05, 2024 while Zwan was travelling, She was too happy when he said that a boy was sitting next to hile while in the journey... Also Vita was replying at mid nights forthose messages because ofmosquitos. Mosquitos became Cupid for both.",3/5/2024,Hostel Change Plan,Hostel Change,
"On March 15, 2024 Vita finally went home. An uncle sat next to her on the bus, which amused Zwan. She told him she wouldn’t be using her phone during the stay. Thoug Zwan said he is gonna be happy by saying, “ORU THOLLA OLINJUTHU ONE WEEK”. March 15 2024 - But her absence created a void in Zwan’s daily routine. Though she had said she won’t be available via chats till she returns back, suddenly after 3 days on March 19 2024  she came, said Hyy and chat forsome times and left. ",3/15/2024,Vita's Home Coming,Voidness,
"After five long days on March 25 2024, Vita returned to Chennai and messaged Zwan. On her return, she had an aunty sitting next to her. She had missed booking the usual side seat, and a handsome boy got it instead. Zwan was happy and sent her a voice note in response for first time. This five days long, without any messages was the longest period they both haven’t messaged each other since from Valentine’s Day.",3/25/2024,Vita's Back,Long Break,
"Then on March 26, 2024 Zwan had explained his whole plan of going home 2 times next month especially one time confirm for election which was going to be held on April 19th. And She just replied with she would try to co-incidentally match those day if possible to go home. And that was the starting of plan for a surprise journey, “YATHARCHIYA MEET PANNA PLAN PANROMAA”. Around this times, March 26 2024 - Zwan and Vita really enjoyed this talks that days. Being silly was their thing!! They both loved it. ",3/26/2024,Coincident Meeting,Silly,
"On April 01, 2024 Zwan told Vita he was checking her photos often as she was the one person in his following list who was posting instagram stories too often. She shared her first photo with him for the first time. This marked the beginning of a folder of her pictures in his gallery.",4/1/2024,Photo Shared,First Photo Shared,
"On April 02 2024, Vita was planning to surpsrise Zwan by travelling with him when he was going home for upcoming elections on April 19th 2024 without saying anything to him. But he had a doubt because Vita keep on insisting him to say say about his travel plans while she said she wont come home. Vita also shared her birthday—October 31.",4/2/2024,Surprise Plan,Excited,
"Continuing April 02 2024 -  They also talked about meeting in Chennai in month of May as Zwan was currently in fasting. Zwan had generally apologised to her by saying, “ETHATHU OVERAKADALA POTTA MANNICHIDU, STOP PANNA MAATEN BUT KAMMI PANNA TRY PANREN” .. but she really didn’t care that... She wasreally okay and comfortable .. So even Zwan found it funny and good ... They even said, “ENNADA CONTENT AH ILLAAMA 2 massama PESUROM...”",4/2/2024,2 months,Talking without Content,
"During this period, around April 09 2024 , Zwan had already memorized Vita's routine as she would discuss each and every routine with Zwan. Vita had said she wouldn’t travel during the election but kept asking about Zwan’s travel plans and seat number, making him suspicious that she would come along and kinda planning to do it with surprise. ",4/9/2024,Vita's Routine,Travel plans,
"On April 10 2024 Vita visited Vinu’s PG susggested by Zwan but found the room congested, eventually choosing a better one and asking Zwan for his opinion, as if it was good or not. ",4/10/2024,Hostel Change Plan, New Hostel,
"She went totally offline for two days in weekend (April 13 2024 - April 14 2024), and Zwan joked he’d call to check if she was dead. On April 16, she tried hard to convince him she wasn’t traveling, increasing his doubt. They talked about tattoos. She send photo she facing mirror that shows Tattoo in her hand. This is the first ever mirror selfie send by Vita to Zwan. ",4/16/2024,First Morror Selfie,Tattoo,
"On April 16, She mentioned her friend Gayu, whom Zwan started asking her to introduce. Zwan apologized for excessive flirting, but she was chill about it, joking with him. They even laughed about having nothing much to talk but still speaking for two months straight.",4/16/2024,Gayu Intro,Gayu,
